"Salary_Currency","Avg_Salary_LOC","Avg_Salary_USD","Count","Percentage","FX_Rate"
"AUD",120000,80000,1,0,1.5
"CAD",159087.838709677,122374.806451613,31,0,1.3000048238898
"CHF",172833.333333333,196401,3,0,0.880002308202776
"DKK",8e+05,117647,1,0,6.8000034000017
"EUR",63942.8881987578,71047.2049689441,161,1,0.900005682513594
"GBP",56888.7924901186,71110.9051383399,506,3,0.800000961588754
"INR",2940000,35293.8,5,0,83.3007497067474
"NZD",2e+05,125000,1,0,1.6
"PLN",273500,68375,2,0,4
"SEK",940000,91262,1,0,10.3000153404484
"TRY",636000,21855,1,0,29.1008922443377
"USD",163543.833678023,163543.833678023,18374,96,1
"ZAR",1e+06,53475.5,2,0,18.7001524062421
